Samples	plate	timepoint	genotypeID	chamber	microbiome	well	size.pixels	size.mm2	Fo	Fm	Fv	Fp	Fm_L1	Fm_L2	Fm_L3	Fm_L4	Fm_Lss	Fm_D1	Fm_D2	Fm_D3	Ft_L1	Ft_L2	Ft_L3	Ft_L4	Ft_Lss	Ft_D1	Ft_D2	Ft_D3	Fo_L1	Fo_L2	Fo_L3	Fo_L4	Fo_Lss	Fo_D1	Fo_D2	Fo_D3	Fv_L1	Fv_L2	Fv_L3	Fv_L4	Fv_Lss	Fv_D1	Fv_D2	Fv_D3	Fq_L1	Fq_L2	Fq_L3	Fq_L4	Fq_Lss	Fq_D1	Fq_D2	Fq_D3	QY_max	Fv/Fm_L1	Fv/Fm_L2	Fv/Fm_L3	Fv/Fm_L4	Fv/Fm_Lss	Fv/Fm_D1	Fv/Fm_D2	Fv/Fm_D3	QY_L1	QY_L2	QY_L3	QY_L4	QY_Lss	QY_D1	QY_D2	QY_D3	NPQ_L1	NPQ_L2	NPQ_L3	NPQ_L4	NPQ_Lss	NPQ_D1	NPQ_D2	NPQ_D3	qN_L1	qN_L2	qN_L3	qN_L4	qN_Lss	qN_D1	qN_D2	qN_D3	qP_L1	qP_L2	qP_L3	qP_L4	qP_Lss	qP_D1	qP_D2	qP_D3	qL_L1	qL_L2	qL_L3	qL_L4	qL_Lss	qL_D1	qL_D2	qL_D3	Rfd_L1	Rfd_L2	Rfd_L3	Rfd_L4	Rfd_Lss
P22B1.9C.9M	P65	initial	P22B1	9	9	2	636	97.47	54.12	134.97	80.86	135.4	101.1	89.06	85.85	83.62	78.83	111.34	118.43	119.53	104.06	89.57	85.23	81.8	77.53	50.08	50.41	49.48	47.71	44.85	44.02	43.43	42.1	49.87	51.25	51.45	53.4	44.21	41.83	40.2	36.74	61.47	67.18	68.08	-2.96	-0.51	0.63	1.82	1.31	61.26	68.02	70.05	0.6	0.53	0.5	0.49	0.48	0.47	0.55	0.57	0.57	-0.03	-0.01	0.01	0.02	0.02	0.55	0.57	0.59	0.33	0.52	0.57	0.61	0.71	0.21	0.14	0.13	0.39	0.51	0.54	0.56	0.6	0.28	0.2	0.18	-0.06	-0.01	0.01	0.05	0.04	1	1.01	1.03	-0.12	-0.02	0.03	0.09	0.07	1	1	0.99	0.3	0.51	0.59	0.66	0.75
P22B1.9C.9M	P65	week3	P22B1	9	9	2	505	77.39	42.71	94.13	51.43	69.06	36.68	30.72	28.1	26.38	25.42	37.74	48.48	50.14	35.1	28.36	25.93	23.39	22.23	22.83	28.37	28.92	24.97	22.05	20.67	19.72	19.18	25.45	29.92	30.55	11.71	8.66	7.43	6.65	6.24	12.29	18.56	19.59	1.58	2.35	2.17	2.99	3.19	14.91	20.12	21.22	0.55	0.32	0.28	0.26	0.25	0.25	0.33	0.38	0.39	0.04	0.08	0.08	0.11	0.13	0.4	0.41	0.42	1.57	2.06	2.35	2.57	2.7	1.49	0.94	0.88	0.83	0.88	0.9	0.91	0.92	0.82	0.71	0.69	0.14	0.27	0.29	0.45	0.51	1.21	1.08	1.08	0.19	0.35	0.37	0.53	0.59	1.09	1.03	1.03	0.97	1.44	1.66	1.95	2.11
P22B1.9C.ControlM	P66	initial	P22B1	9	Control	2	323	49.5	57.6	156.44	98.85	131.49	79.6	63.68	59.44	53.01	39.92	74.64	82	82.2	82.73	64.41	58.48	51.76	39.52	36.59	37.5	36.52	42.49	37.49	35.98	33.52	27.76	41.04	43.17	43.22	37.1	26.19	23.46	19.49	12.16	33.6	38.83	38.97	-3.13	-0.73	0.96	1.25	0.4	38.05	44.5	45.67	0.63	0.47	0.41	0.39	0.37	0.3	0.45	0.47	0.47	-0.04	-0.01	0.02	0.02	0.01	0.51	0.54	0.56	0.97	1.46	1.63	1.95	2.92	1.1	0.91	0.9	0.67	0.78	0.81	0.84	0.91	0.71	0.66	0.66	-0.08	-0.03	0.04	0.06	0.03	1.13	1.15	1.17	-0.16	-0.05	0.07	0.1	0.05	1.01	1	0.99	0.59	1.04	1.25	1.54	2.33
P22B1.9C.ControlM	P66	week3	P22B1	9	Control	2	247	37.85	51.68	124.45	72.77	111.23	49.59	40.33	35.28	30.27	27.49	54.42	75.08	79.38	49.23	37.51	32.49	28.15	25.5	29.74	37.44	37.74	31.77	27.69	25.22	22.54	20.97	33.68	40.59	41.82	17.83	12.63	10.07	7.72	6.52	20.74	34.49	37.56	0.36	2.82	2.79	2.11	1.99	24.68	37.64	41.65	0.58	0.36	0.31	0.29	0.26	0.24	0.38	0.46	0.47	0.01	0.07	0.08	0.07	0.07	0.45	0.5	0.52	1.51	2.09	2.53	3.11	3.53	1.29	0.66	0.57	0.81	0.87	0.9	0.92	0.94	0.77	0.59	0.55	0.02	0.22	0.28	0.27	0.31	1.19	1.09	1.11	0.03	0.3	0.36	0.34	0.37	1.05	1.01	1	1.26	1.97	2.42	2.95	3.36
P22B4.0C.0M	P61	initial	P22B4	0	0	3	301	46.13	91.02	192.2	101.17	180.48	104.64	91.57	87.25	80.74	76.83	128.79	138.88	140.79	108.97	92.3	87.07	81.19	76.43	75.03	76.97	77.06	65.19	59.87	57.99	55.04	53.2	73.81	77.02	77.6	39.45	31.7	29.26	25.7	23.64	54.97	61.86	63.18	-4.33	-0.72	0.18	-0.46	0.4	53.75	61.91	63.73	0.53	0.38	0.35	0.34	0.32	0.31	0.43	0.45	0.45	-0.04	-0.01	0	-0.01	0.01	0.42	0.45	0.45	0.84	1.1	1.2	1.38	1.5	0.49	0.38	0.37	0.69	0.76	0.78	0.81	0.83	0.54	0.46	0.45	-0.11	-0.02	0.01	-0.02	0.02	0.98	1	1.01	-0.18	-0.04	0.01	-0.03	0.02	0.99	1	1	0.66	0.96	1.07	1.22	1.36
P22B4.0C.0M	P61	week3	P22B4	0	0	3	579	88.74	48.82	123.66	74.84	106.12	46.98	36.93	34.48	33.27	31.9	52.26	66.93	73.46	46.53	35.66	32.38	30.51	29.28	29.11	32.98	35.55	29.69	25.33	24.15	23.56	22.86	31.72	36.58	38.45	17.29	11.6	10.32	9.71	9.04	20.55	30.35	35.01	0.45	1.28	2.09	2.76	2.62	23.15	33.95	37.91	0.61	0.37	0.31	0.3	0.29	0.28	0.39	0.45	0.48	0.01	0.03	0.06	0.08	0.08	0.44	0.51	0.52	1.63	2.35	2.59	2.72	2.88	1.37	0.85	0.68	0.82	0.88	0.9	0.9	0.91	0.78	0.65	0.59	0.03	0.11	0.2	0.28	0.29	1.13	1.12	1.08	0.04	0.15	0.27	0.37	0.37	1.03	1.01	1	1.28	1.98	2.28	2.48	2.62
P22B4.0C.9M	P62	initial	P22B4	0	9	3	657	100.69	52.57	120.37	67.8	119.64	80.59	73.26	69.74	66.11	62.95	91.47	96.39	97.23	83.85	74.13	70.51	66.02	62.8	49.49	49.5	48.72	43.25	41.04	39.92	38.7	37.59	46.2	47.42	47.62	37.34	32.22	29.83	27.41	25.35	45.27	48.97	49.61	-3.26	-0.87	-0.77	0.08	0.14	41.98	46.88	48.51	0.56	0.46	0.44	0.43	0.41	0.4	0.49	0.51	0.51	-0.04	-0.01	-0.01	0	0	0.46	0.49	0.5	0.49	0.64	0.73	0.82	0.91	0.32	0.25	0.24	0.52	0.59	0.63	0.66	0.69	0.39	0.33	0.32	-0.09	-0.03	-0.03	0	0.01	0.93	0.96	0.98	-0.17	-0.05	-0.05	0.01	0.01	0.99	1	1	0.43	0.61	0.7	0.81	0.9
P22B4.0C.9M	P62	week3	P22B4	0	9	3	473	72.49	27.56	59.38	31.82	44.02	22.25	19.75	18.47	18.45	18.64	24.25	29.05	32.1	20.46	17.22	15.94	15.97	15.17	14.37	16.43	18.11	15.53	14.27	13.59	13.58	13.68	16.48	18.57	19.77	6.72	5.48	4.88	4.87	4.96	7.77	10.49	12.34	1.8	2.53	2.52	2.47	3.48	9.88	12.62	13.99	0.54	0.3	0.28	0.26	0.26	0.27	0.32	0.36	0.38	0.08	0.13	0.14	0.13	0.19	0.41	0.43	0.44	1.67	2.01	2.22	2.22	2.18	1.45	1.04	0.85	0.85	0.88	0.89	0.89	0.89	0.82	0.74	0.69	0.27	0.46	0.52	0.51	0.7	1.27	1.2	1.13	0.35	0.56	0.61	0.6	0.78	1.11	1.07	1.04	1.15	1.56	1.76	1.76	1.9
P22B4.0C.ControlM	P63	initial	P22B4	0	Control	3	256	39.23	81.85	193.03	111.17	183.77	115.29	89.93	83.59	75.93	71.89	145.03	156.38	157.24	119.89	90.2	83.23	74.98	70.44	86.38	87.17	83.28	63.65	55.08	52.63	49.49	47.74	71.78	74.45	74.65	51.63	34.85	30.96	26.44	24.15	73.25	81.93	82.59	-4.61	-0.27	0.36	0.95	1.45	58.65	69.21	73.97	0.58	0.45	0.39	0.37	0.35	0.34	0.51	0.52	0.53	-0.04	0	0	0.01	0.02	0.4	0.44	0.47	0.67	1.15	1.31	1.54	1.69	0.33	0.23	0.23	0.6	0.75	0.78	0.82	0.83	0.4	0.31	0.3	-0.09	-0.01	0.01	0.04	0.06	0.8	0.84	0.9	-0.17	-0.01	0.02	0.05	0.09	0.96	0.99	1	0.53	1.04	1.21	1.45	1.61
P22B4.0C.ControlM	P63	week3	P22B4	0	Control	3	393	60.23	72.01	146.68	74.67	113.85	43.66	32.63	29.82	27.8	25.72	53.32	77.55	85.34	43.52	30.62	27.45	25.3	23.36	28.99	38.2	40.81	33.36	26.52	24.63	23.24	21.77	38.72	50.09	53.23	10.3	6.12	5.19	4.57	3.96	14.6	27.46	32.11	0.13	2.02	2.38	2.5	2.36	24.33	39.36	44.53	0.51	0.24	0.19	0.17	0.16	0.15	0.27	0.35	0.38	0	0.06	0.08	0.09	0.09	0.46	0.51	0.52	2.36	3.49	3.92	4.28	4.7	1.75	0.89	0.72	0.91	0.95	0.96	0.96	0.97	0.86	0.72	0.66	0.01	0.33	0.46	0.55	0.6	1.67	1.43	1.39	0.02	0.38	0.51	0.6	0.64	1.25	1.09	1.06	1.62	2.72	3.15	3.5	3.87
P22B4.9C.0M	P64	initial	P22B4	9	0	3	1044	160	17.73	47.14	29.41	49.33	29.73	26.7	25.47	23.75	22.96	32.86	36.24	37.24	29.93	25.35	22.81	21.22	19.67	15.6	16.66	16.08	14.53	13.77	13.43	12.94	12.7	15.24	15.93	16.12	15.2	12.94	12.04	10.82	10.26	17.62	20.32	21.12	-0.2	1.36	2.65	2.54	3.28	17.26	19.58	21.16	0.62	0.51	0.48	0.47	0.46	0.45	0.54	0.56	0.57	-0.01	0.05	0.1	0.11	0.14	0.53	0.54	0.57	0.59	0.77	0.85	0.98	1.05	0.43	0.3	0.27	0.53	0.61	0.64	0.68	0.7	0.45	0.35	0.32	-0.01	0.1	0.22	0.23	0.32	0.98	0.96	1	-0.03	0.19	0.37	0.38	0.5	1	1.01	1	0.65	0.95	1.16	1.33	1.51
P22B4.9C.0M	P64	week3	P22B4	9	0	3	825	126.44	27.57	63.33	35.76	52.08	30.61	27.19	25.81	24.52	24.01	34.07	39.82	40.86	29.13	24.38	22.8	20.83	20.64	19.48	22.41	21.85	18.81	17.46	16.89	16.32	16.1	20.07	21.93	22.25	11.79	9.72	8.93	8.2	7.92	14	17.89	18.62	1.47	2.81	3.02	3.69	3.37	14.59	17.41	19.02	0.56	0.39	0.36	0.35	0.33	0.33	0.41	0.45	0.46	0.05	0.1	0.12	0.15	0.14	0.43	0.44	0.47	1.07	1.33	1.45	1.58	1.64	0.86	0.59	0.55	0.74	0.79	0.81	0.83	0.83	0.68	0.57	0.55	0.13	0.29	0.34	0.45	0.43	1.04	0.97	1.02	0.19	0.4	0.46	0.57	0.55	1.01	0.99	1	0.79	1.14	1.28	1.5	1.52
P22B4.9C.9M	P65	initial	P22B4	9	9	3	753	115.4	41.77	107.28	65.5	108.95	77.91	69.88	67.51	63.87	60.4	89	94.28	95.4	81.46	70.94	67.17	63.7	59.43	40.59	41.32	40.69	36.43	34.57	33.98	33.03	32.08	38.68	39.64	39.84	41.48	35.31	33.53	30.84	28.32	50.32	54.63	55.56	-3.55	-1.06	0.34	0.17	0.97	48.41	52.96	54.71	0.61	0.53	0.51	0.5	0.48	0.47	0.57	0.58	0.58	-0.05	-0.02	0	0	0.02	0.54	0.56	0.57	0.38	0.54	0.59	0.68	0.78	0.21	0.14	0.12	0.41	0.51	0.54	0.58	0.62	0.27	0.19	0.18	-0.09	-0.03	0.01	0.01	0.03	0.96	0.97	0.98	-0.19	-0.06	0.02	0.01	0.06	1.01	1.01	1.01	0.34	0.54	0.62	0.71	0.83
P22B4.9C.9M	P65	week3	P22B4	9	9	3	604	92.57	39.73	83.13	43.4	60.9	35.85	32.04	30.6	29.55	28.33	38.17	45.2	46.14	34.13	29.76	28	26.38	24.87	23.97	27.86	27.71	24.37	22.55	21.82	21.28	20.65	25.42	28.36	28.73	11.48	9.49	8.77	8.26	7.69	12.75	16.84	17.41	1.72	2.29	2.59	3.17	3.46	14.19	17.34	18.42	0.52	0.32	0.3	0.29	0.28	0.27	0.33	0.37	0.38	0.05	0.07	0.08	0.11	0.12	0.37	0.38	0.4	1.32	1.59	1.72	1.81	1.93	1.18	0.84	0.8	0.8	0.84	0.86	0.87	0.88	0.78	0.69	0.68	0.15	0.24	0.3	0.38	0.45	1.11	1.03	1.06	0.21	0.32	0.38	0.48	0.54	1.05	1.01	1.02	0.78	1.05	1.17	1.31	1.45
P22B4.9C.ControlM	P66	initial	P22B4	9	Control	3	555	85.06	76.58	217.06	140.48	210.33	122.09	99.76	93.08	82.65	69.82	146.5	168.33	171.14	125.38	99.78	92.16	82.17	69.35	73.21	75.41	73.13	60.09	54.12	52.1	48.66	43.91	65.45	69.48	69.96	62.01	45.63	40.99	33.99	25.91	81.04	98.85	101.19	-3.29	-0.02	0.92	0.48	0.48	73.28	92.92	98.02	0.65	0.51	0.46	0.44	0.41	0.37	0.55	0.59	0.59	-0.03	0	0.01	0.01	0.01	0.5	0.55	0.57	0.78	1.18	1.33	1.63	2.11	0.48	0.29	0.27	0.6	0.72	0.75	0.8	0.85	0.47	0.33	0.31	-0.05	0	0.02	0.01	0.02	0.9	0.94	0.97	-0.11	0	0.04	0.02	0.03	1.01	1.02	1.01	0.68	1.11	1.28	1.56	2.03
P22B4.9C.ControlM	P66	week3	P22B4	9	Control	3	681	104.37	85.5	203.49	117.99	160.87	65.78	51.79	45.64	39.68	37.39	65.07	101.93	114.83	69.42	50.54	45.39	39.51	36.36	43.83	60.65	64.55	45.49	38.33	34.85	31.27	29.83	45.15	60.27	64.56	20.29	13.46	10.79	8.41	7.56	19.92	41.66	50.27	-3.63	1.25	0.25	0.17	1.03	21.24	41.28	50.28	0.58	0.31	0.26	0.24	0.21	0.2	0.31	0.41	0.44	-0.06	0.02	0.01	0	0.03	0.33	0.4	0.44	2.09	2.93	3.46	4.13	4.44	2.13	1	0.77	0.87	0.92	0.94	0.95	0.96	0.87	0.71	0.64	-0.18	0.09	0.02	0.02	0.14	1.07	0.99	1	-0.27	0.12	0.03	0.02	0.17	1.04	1	1	1.32	2.18	2.54	3.07	3.42
P22C4.0C.0M	P67	initial	P22C4	0	0	7	554	84.9	48.52	119.83	71.31	122.03	85.59	74.34	70.52	68.09	63.65	94	102.11	104.96	89.57	77.19	72.42	68.43	64.61	46.81	47.94	47.95	41.75	38.88	37.81	37.1	35.74	43.66	45.33	45.88	43.83	35.46	32.71	30.99	27.91	50.34	56.78	59.08	-3.99	-2.85	-1.9	-0.35	-0.96	47.18	54.17	57.01	0.6	0.51	0.48	0.46	0.46	0.44	0.54	0.56	0.56	-0.05	-0.04	-0.03	-0.01	-0.02	0.5	0.53	0.54	0.4	0.61	0.7	0.76	0.88	0.27	0.17	0.14	0.44	0.56	0.6	0.63	0.67	0.34	0.24	0.2	-0.09	-0.08	-0.06	-0.01	-0.03	0.94	0.95	0.97	-0.2	-0.16	-0.11	-0.02	-0.06	1.01	1.01	1.01	0.36	0.58	0.69	0.78	0.89
P22C4.0C.0M	P67	week3	P22C4	0	0	7	388	59.46	48.74	106.56	57.82	78.77	38.36	32.03	28.85	27.37	27.22	36.44	48.42	53.98	38.02	29.18	26.95	24.92	24.27	21.95	27.88	30.24	26.88	23.61	21.84	20.98	20.89	25.92	31.46	33.72	11.48	8.42	7.01	6.39	6.33	10.51	16.96	20.27	0.34	2.85	1.9	2.45	2.95	14.49	20.55	23.75	0.54	0.3	0.26	0.24	0.23	0.23	0.29	0.35	0.38	0.01	0.09	0.07	0.09	0.11	0.4	0.42	0.44	1.78	2.33	2.69	2.89	2.91	1.92	1.2	0.97	0.86	0.9	0.92	0.93	0.93	0.87	0.77	0.72	0.03	0.34	0.27	0.38	0.47	1.38	1.21	1.17	0.04	0.42	0.33	0.46	0.54	1.17	1.07	1.05	1.07	1.7	1.92	2.16	2.25
P22C4.0C.9M	P68	initial	P22C4	0	9	7	827	126.74	57.99	160.65	102.66	160.51	114.04	101.49	97.06	90.77	86.31	125.83	131.51	134.01	118.71	103.16	96.73	90.34	85.69	59.45	59.74	58.4	50.53	47.91	46.9	45.38	44.24	52.72	53.7	54.11	63.51	53.58	50.16	45.39	42.07	73.11	77.81	79.9	-4.67	-1.66	0.33	0.43	0.62	66.38	71.77	75.61	0.64	0.56	0.53	0.52	0.5	0.49	0.58	0.59	0.6	-0.04	-0.02	0	0	0.01	0.53	0.55	0.56	0.41	0.58	0.66	0.77	0.86	0.28	0.22	0.2	0.42	0.52	0.56	0.61	0.64	0.32	0.27	0.25	-0.07	-0.03	0.01	0.01	0.01	0.91	0.92	0.95	-0.17	-0.07	0.01	0.02	0.03	1.02	1.03	1.02	0.35	0.56	0.66	0.78	0.87
P22C4.0C.9M	P68	week3	P22C4	0	9	7	806	123.52	75	213.41	138.41	194.16	92.47	71.39	65.21	58.72	53.22	110.14	149.9	161.6	96.93	70.52	64.77	56.9	51.14	52.9	62.41	63.57	51.38	44.14	41.69	38.95	36.44	56.41	65.28	67.4	41.09	27.25	23.51	19.78	16.77	53.73	84.62	94.2	-4.46	0.87	0.43	1.83	2.08	57.24	87.49	98.03	0.65	0.44	0.38	0.36	0.34	0.32	0.49	0.56	0.58	-0.05	0.01	0.01	0.03	0.04	0.52	0.58	0.61	1.31	1.99	2.27	2.63	3.01	0.94	0.42	0.32	0.75	0.84	0.86	0.89	0.91	0.66	0.43	0.35	-0.11	0.03	0.02	0.09	0.12	1.07	1.03	1.04	-0.2	0.05	0.03	0.14	0.17	1	0.99	0.98	1	1.75	2	2.41	2.8
P22C4.0C.ControlM	P69	initial	P22C4	0	Control	7	271	41.53	67.34	196	128.66	195.39	152.45	118.34	111.24	104.25	90.25	163.48	173.41	184.03	156.16	118.01	109.54	101.34	87.54	82.49	84	78.27	61.32	54.95	53.37	51.71	48.01	63.03	64.45	65.87	91.13	63.39	57.87	52.54	42.24	100.45	108.95	118.16	-3.7	0.34	1.7	2.91	2.72	80.99	89.4	105.76	0.66	0.6	0.54	0.52	0.5	0.47	0.61	0.63	0.64	-0.02	0	0.02	0.03	0.03	0.5	0.52	0.57	0.29	0.66	0.76	0.88	1.17	0.2	0.13	0.07	0.32	0.55	0.59	0.64	0.71	0.24	0.17	0.09	-0.04	0.01	0.03	0.06	0.06	0.81	0.82	0.9	-0.1	0.01	0.06	0.11	0.12	1.06	1.07	1.06	0.25	0.66	0.78	0.93	1.23
P22C4.0C.ControlM	P69	week3	P22C4	0	Control	7	481	73.72	61.42	180.93	119.51	167.81	74.33	53.69	47.55	41.3	36.43	85.94	123.48	136.28	76.98	51.44	44.58	38.63	34.45	41.28	51.49	54.3	41.31	34.04	31.46	28.6	26.18	44.66	53.04	55.27	33.02	19.65	16.09	12.7	10.26	41.28	70.44	81.01	-2.65	2.25	2.97	2.67	1.98	44.66	71.99	81.98	0.66	0.44	0.37	0.34	0.31	0.28	0.48	0.57	0.59	-0.04	0.04	0.06	0.06	0.05	0.52	0.58	0.6	1.43	2.37	2.81	3.38	3.97	1.11	0.47	0.33	0.76	0.87	0.89	0.92	0.93	0.7	0.45	0.36	-0.08	0.11	0.18	0.21	0.19	1.08	1.02	1.01	-0.15	0.17	0.26	0.28	0.25	1	0.99	0.99	1.18	2.26	2.76	3.34	3.87
P22C4.9C.0M	P70	initial	P22C4	9	0	7	1600	245.21	28.46	66.37	37.91	69.78	45.43	37.24	34.51	33.04	32.04	46.89	52.51	55.08	45.76	35.98	32.5	30.39	29.94	23.84	25.13	25.08	23.76	21.31	20.39	19.86	19.5	24.15	25.56	26.16	21.67	15.93	14.12	13.18	12.54	22.74	26.95	28.92	-0.33	1.26	2	2.65	2.1	23.05	27.38	30	0.57	0.48	0.43	0.41	0.4	0.39	0.48	0.51	0.53	-0.01	0.03	0.06	0.08	0.07	0.49	0.52	0.54	0.46	0.78	0.92	1.01	1.07	0.42	0.26	0.21	0.49	0.65	0.69	0.72	0.73	0.46	0.34	0.28	-0.02	0.08	0.14	0.2	0.17	1.01	1.02	1.04	-0.03	0.13	0.23	0.31	0.26	1	1	0.99	0.52	0.94	1.15	1.3	1.33
P22C4.9C.0M	P70	week3	P22C4	9	0	7	1075	164.75	84.13	209.15	125.02	200.5	112.8	90.9	84.62	79.71	75.19	128.43	166.72	178.68	118.28	90.51	84.22	77.86	74.37	70.31	82.14	84.44	62.62	55.23	52.85	50.89	49.01	67.15	76.32	78.73	50.18	35.67	31.78	28.82	26.18	61.27	90.4	99.95	-5.49	0.39	0.41	1.85	0.82	58.12	84.58	94.24	0.6	0.44	0.39	0.38	0.36	0.35	0.48	0.54	0.56	-0.05	0	0	0.02	0.01	0.45	0.51	0.53	0.85	1.3	1.47	1.62	1.78	0.63	0.25	0.17	0.66	0.77	0.8	0.82	0.84	0.57	0.32	0.23	-0.11	0.01	0.01	0.06	0.03	0.95	0.94	0.94	-0.21	0.02	0.02	0.1	0.05	0.99	1.01	1.01	0.7	1.22	1.38	1.58	1.7
P22C4.9C.9M	P71	initial	P22C4	9	9	7	1165	178.54	31.51	85.79	54.27	89.64	64.61	55.55	52.72	50.56	48.98	74.67	78.14	79.19	66.08	54.88	51.72	49.36	47.7	32.2	32.4	31.91	28.13	26.26	25.61	25.09	24.69	29.88	30.42	30.58	36.49	29.29	27.11	25.47	24.28	44.79	47.72	48.62	-1.46	0.67	1	1.2	1.27	42.47	45.74	47.29	0.63	0.56	0.53	0.51	0.5	0.5	0.6	0.61	0.61	-0.02	0.01	0.02	0.02	0.03	0.57	0.59	0.6	0.33	0.54	0.63	0.7	0.75	0.15	0.1	0.08	0.37	0.51	0.55	0.58	0.6	0.2	0.14	0.12	-0.04	0.02	0.04	0.05	0.05	0.95	0.96	0.97	-0.09	0.05	0.07	0.09	0.1	1.02	1.02	1.01	0.36	0.63	0.73	0.82	0.88
P22C4.9C.9M	P71	week3	P22C4	9	9	7	1505	230.65	25.53	52.46	26.92	45.31	26.38	22.3	21	18.76	18.5	23.81	27.88	30.05	24	19.81	17.43	16.27	15.21	14.54	17.03	18.35	17.24	15.4	14.77	13.62	13.49	16.1	17.87	18.73	9.14	6.9	6.23	5.14	5.01	7.7	10.01	11.31	2.38	2.48	3.57	2.49	3.29	9.27	10.85	11.69	0.51	0.35	0.31	0.3	0.27	0.27	0.32	0.36	0.38	0.09	0.11	0.17	0.13	0.18	0.39	0.39	0.39	0.99	1.35	1.5	1.8	1.84	1.2	0.88	0.75	0.74	0.81	0.83	0.87	0.87	0.79	0.71	0.66	0.26	0.36	0.57	0.48	0.66	1.2	1.08	1.03	0.36	0.46	0.68	0.58	0.74	1.09	1.03	1.01	0.89	1.29	1.6	1.79	1.98
P22C4.9C.ControlM	P72	initial	P22C4	9	Control	7	381	58.39	67.9	176.08	108.18	166.99	119.85	96.38	91.23	83.78	77.48	142.85	153.37	153.16	124.6	97.81	89.47	82.33	77.52	64.01	63.75	62.7	57.5	51.48	49.98	47.65	45.55	62.31	64.23	64.2	62.35	44.9	41.25	36.12	31.93	80.54	89.14	88.97	-4.75	-1.43	1.76	1.45	-0.04	78.84	89.63	90.46	0.61	0.52	0.47	0.45	0.43	0.41	0.56	0.58	0.58	-0.04	-0.01	0.02	0.02	0	0.55	0.58	0.59	0.47	0.83	0.93	1.1	1.27	0.23	0.15	0.15	0.47	0.64	0.67	0.72	0.76	0.29	0.2	0.2	-0.08	-0.03	0.04	0.04	0	0.98	1.01	1.02	-0.17	-0.06	0.08	0.07	0	1.01	1	0.99	0.34	0.71	0.87	1.03	1.15
P22C4.9C.ControlM	P72	week3	P22C4	9	Control	7	585	89.66	87.82	231.9	144.07	216.14	102.78	83.38	76.75	69.34	63.32	131.38	183.36	194.19	106.83	82.64	76.04	68.22	63.12	75.77	91.57	91.62	59.51	52.45	49.74	46.52	43.73	68.09	79.82	81.81	43.27	30.94	27.01	22.82	19.59	63.29	103.54	112.38	-4.05	0.75	0.7	1.11	0.2	55.6	91.79	102.57	0.62	0.42	0.37	0.35	0.33	0.31	0.48	0.56	0.58	-0.04	0.01	0.01	0.02	0	0.42	0.5	0.53	1.26	1.78	2.02	2.34	2.66	0.77	0.26	0.19	0.75	0.83	0.85	0.88	0.9	0.61	0.32	0.25	-0.09	0.02	0.03	0.05	0.01	0.88	0.89	0.91	-0.17	0.04	0.04	0.07	0.02	0.98	1.02	1.02	1.02	1.62	1.84	2.17	2.42
P22C5.0C.0M	P67	initial	P22C5	0	0	8	257	39.39	40.17	82.25	42.08	83.06	67.49	62.21	61.75	57.51	54.13	70.46	73.88	73.59	69.64	63.65	60.75	57	54.28	37.72	39.27	39.2	36.3	34.71	34.57	33.2	32.04	37.14	38.07	37.99	31.19	27.5	27.18	24.31	22.09	33.33	35.81	35.6	-2.15	-1.44	1	0.51	-0.15	32.74	34.62	34.39	0.51	0.46	0.44	0.44	0.42	0.41	0.47	0.48	0.48	-0.03	-0.02	0.02	0.01	0	0.46	0.47	0.47	0.22	0.32	0.33	0.43	0.52	0.17	0.11	0.12	0.32	0.42	0.43	0.5	0.56	0.26	0.19	0.2	-0.07	-0.05	0.04	0.02	-0.01	0.98	0.97	0.97	-0.13	-0.1	0.06	0.04	-0.01	1	1	1	0.19	0.3	0.37	0.46	0.53
P22C5.0C.0M	P67	week3	P22C5	0	0	8																																																																																																				
P22C5.0C.9M	P68	initial	P22C5	0	9	8	774	118.62	52.62	148.11	95.49	150.92	110.97	97.76	91.63	85.19	81.35	125.62	132.33	133.32	115.49	99.41	92.7	85.35	81.58	60.83	60.83	58.71	47.03	44.48	43.17	41.69	40.74	49.48	50.48	50.63	63.93	53.28	48.46	43.51	40.6	76.14	81.84	82.69	-4.53	-1.65	-1.07	-0.16	-0.23	64.79	71.49	74.62	0.64	0.58	0.54	0.53	0.51	0.5	0.61	0.62	0.62	-0.04	-0.02	-0.01	0	0	0.52	0.54	0.56	0.33	0.52	0.62	0.74	0.82	0.18	0.12	0.11	0.37	0.49	0.54	0.59	0.62	0.23	0.16	0.15	-0.07	-0.03	-0.02	0	-0.01	0.85	0.87	0.9	-0.17	-0.07	-0.05	-0.01	-0.01	1.05	1.05	1.05	0.31	0.52	0.63	0.77	0.85
